text_id,paper_discipline,level_cat,student_gender,speaker_status,paper_type,the,of,and,to,in,a,is,that,for,this,be,as,are,with,it,on,not,by,was,from,an,have,their,or,which,i,they,his,can,will,we,were,at,these,more,but,he,would,has,one,also,all,there,her,between,when,if,may,only,about
CEE.G0.04.1,Civil and Environmental Engineering,G0,M,NS,ResearchPaper,107719.93,43985.64,23339.32,30520.65,14362.66,9874.33,15260.32,11669.66,10771.99,11669.66,15260.32,12567.32,6283.66,3590.66,6283.66,2693,4488.33,3590.66,9874.33,5386,4488.33,2693,0,0,7181.33,0,0,0,7181.33,897.67,12567.32,8976.66,2693,2693,0,0,0,6283.66,3590.66,2693,2693,897.67,897.67,0,0,1795.33,1795.33,1795.33,897.67,0
CEE.G0.05.1,Civil and Environmental Engineering,G0,F,NS,ResearchPaper,121212.12,29040.4,39141.41,32828.28,20202.02,13888.89,21464.65,8838.38,8838.38,7575.76,17676.77,7575.76,5050.51,1262.63,5050.51,3787.88,0,1262.63,20202.02,13888.89,1262.63,2525.25,0,0,1262.63,0,1262.63,0,5050.51,1262.63,1262.63,8838.38,2525.25,2525.25,0,0,0,0,0,0,0,0,0,0,1262.63,2525.25,0,0,2525.25,3787.88
CEE.G0.05.2,Civil and Environmental Engineering,G0,F,NS,Report,77720.21,17271.16,41450.78,31088.08,12089.81,20725.39,22452.5,6908.46,20725.39,12089.81,10362.69,3454.23,8635.58,10362.69,1727.12,8635.58,1727.12,0,1727.12,3454.23,0,6908.46,0,3454.23,3454.23,0,0,0,3454.23,13816.93,12089.81,1727.12,3454.23,0,0,0,0,0,12089.81,0,3454.23,3454.23,6908.46,0,0,0,3454.23,0,0,0
CEE.G0.05.3,Civil and Environmental Engineering,G0,F,NS,Report,78189.3,26748.97,55555.56,24691.36,6172.84,16460.91,12345.68,10288.07,12345.68,8230.45,24691.36,2057.61,6172.84,14403.29,2057.61,16460.91,2057.61,0,0,4115.23,2057.61,12345.68,2057.61,0,2057.61,0,0,0,2057.61,24691.36,18518.52,0,2057.61,0,0,0,0,0,6172.84,0,6172.84,8230.45,2057.61,0,0,0,2057.61,0,0,2057.61
CEE.G0.06.1,Civil and Environmental Engineering,G0,F,NS,ResearchPaper,104089.22,28500.62,34696.41,18587.36,27261.46,7434.94,34696.41,8674.1,19826.52,22304.83,12391.57,2478.31,11152.42,2478.31,7434.94,1239.16,6195.79,3717.47,3717.47,8674.1,3717.47,0,0,0,0,0,0,0,2478.31,6195.79,0,0,8674.1,3717.47,0,0,0,0,1239.16,0,1239.16,4956.63,0,0,0,1239.16,2478.31,1239.16,0,0
CEE.G1.01.1,Civil and Environmental Engineering,G1,M,NS,Report,69180.52,25237.53,27612.83,18705.46,18408.55,15736.34,14251.78,11282.66,11579.57,6532.07,5641.33,2375.3,8907.36,6235.15,2969.12,7125.89,2672.21,593.82,3562.95,6828.98,2078.38,8610.45,1187.65,12173.4,3562.95,0,1187.65,0,296.91,593.82,0,1484.56,2969.12,5641.33,2078.38,593.82,0,1781.47,4750.59,3266.03,2672.21,1484.56,2969.12,0,4453.68,1187.65,890.74,2969.12,1781.47,0
CEE.G1.02.1,Civil and Environmental Engineering,G1,M,NNS,ResearchPaper,92221.7,32603.63,19096.41,17699.12,19562.18,25617.14,20959.48,5123.43,10712.62,17233.35,10712.62,9315.32,4657.66,6520.73,5123.43,1863.06,4657.66,2794.6,6520.73,4657.66,4191.9,2794.6,465.77,2794.6,6986.49,465.77,931.53,0,5123.43,7918.03,0,4191.9,10246.86,2328.83,1863.06,1863.06,0,2328.83,1863.06,465.77,2328.83,931.53,1397.3,0,465.77,3260.36,1397.3,465.77,931.53,1397.3
CEE.G1.02.2,Civil and Environmental Engineering,G1,M,NNS,Report,86936.94,29729.73,27027.03,24774.77,21171.17,17117.12,18468.47,9909.91,4954.95,10810.81,9009.01,2702.7,10360.36,8108.11,5405.41,2252.25,4054.05,7207.21,2252.25,2252.25,5855.86,2702.7,450.45,4954.95,5855.86,0,2702.7,0,4954.95,7207.21,0,1351.35,6756.76,6306.31,900.9,1801.8,0,2252.25,3603.6,2252.25,1351.35,450.45,1351.35,0,3153.15,2702.7,1351.35,1351.35,1351.35,900.9
CEE.G1.02.3,Civil and Environmental Engineering,G1,M,NNS,Report,81300.81,50813.01,36585.37,20325.2,18292.68,34552.85,12195.12,12195.12,16260.16,10162.6,16260.16,2032.52,4065.04,4065.04,6097.56,2032.52,0,2032.52,0,4065.04,2032.52,10162.6,2032.52,4065.04,6097.56,0,0,0,8130.08,10162.6,4065.04,4065.04,2032.52,6097.56,0,0,0,0,8130.08,2032.52,0,0,2032.52,0,0,2032.52,0,0,4065.04,2032.52
CEE.G1.03.1,Civil and Environmental Engineering,G1,F,NS,Report,96261.41,29143.36,26199.59,19428.91,15602,18545.78,21489.55,8831.32,10597.59,4710.04,5593.17,3826.91,7948.19,9125.7,4710.04,4415.66,3532.53,6181.93,12658.23,3532.53,5298.79,5004.42,0,883.13,7359.43,0,2060.64,0,2943.77,1471.89,0,6476.3,3532.53,1177.51,2649.4,2943.77,0,2060.64,3532.53,2060.64,4121.28,588.75,3238.15,0,1766.26,1177.51,0,1177.51,2355.02,1766.26
